Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
25	Jump	OM	3	1500	37.5	182.45	250	0	0	0	3
25	Slalom	OW	1	1500	0	101.67	113	0	8	0	3
25	Trick	OW	2	15000	0	6898.50	11360	0	0	0	3
25	Jump	OW	3	1500	28.2	136.50	188	0	0	0	3
25	Slalom	MM	1	1500	0	104.67	115.5	0	8	0	3
25	Trick	MM	2	15000	0	3008.50	11570	0	0	0	3
25	Jump	MM	3	1500	32.25	198.00	215	0	0	0	3
25	Slalom	MW	1	1500	0	92.00	113	0	8	0	3
25	Trick	MW	2	15000	0	4107.50	8540	0	0	0	3
25	Jump	MW	3	1500	23.25	90.50	155	0	0	0	3
24	Slalom	B1	1	1500	0	23.16	85	0	24	0	2
24	Trick	B1	2	15000	0	335.00	6130	0	0	0	2
24	Jump	B1	3	1500	0	999.00	999	0	0	0	2
24	Slalom	B2	1	1500	0	59.09	91	0	8	0	3
24	Trick	B2	2	15000	0	819.00	8930	0	0	0	3
24	Jump	B2	3	1500	16.8	43.55	112	0	0	0	3
24	Slalom	B3	1	1500	0	65.83	104.5	0	8	0	3
24	Trick	B3	2	15000	0	1170.00	11100	0	0	0	3
24	Jump	B3	3	1500	21.6	66.70	144	0	0	0	3
24	Slalom	B4	1	1500	0	82.67	115	0	8	0	3
24	Trick	B4	2	15000	0	1260.00	11490	0	0	0	3
24	Jump	B4	3	1500	28.65	76.50	191	0	0	0	3
24	Slalom	B5	1	1500	0	81.34	117	0	8	0	3
24	Trick	B5	2	15000	0	1560.00	11970	0	0	0	3
24	Jump	B5	3	1500	28.95	79.70	193	0	0	0	3
24	Slalom	M1	1	1500	0	74.85	122.5	0	8	0	3
24	Trick	M1	2	15000	0	960.00	11620	0	0	0	3
24	Jump	M1	3	1500	32.7	71.30	218	0	0	0	3
24	Slalom	M2	1	1500	0	83.15	122	0	8	0	3
24	Trick	M2	2	15000	0	1224.00	12170	0	0	0	3
24	Jump	M2	3	1500	32.4	94.30	216	0	0	0	3
24	Slalom	M3	1	1500	0	82.95	115.5	0	8	0	3
24	Trick	M3	2	15000	0	938.50	12070	0	0	0	3
24	Jump	M3	3	1500	30.45	81.90	203	0	0	0	3
24	Slalom	M4	1	1500	0	84.55	115.5	0	8	0	3
24	Trick	M4	2	15000	0	1053.50	11470	0	0	0	3
24	Jump	M4	3	1500	28.65	67.00	191	0	0	0	3
24	Slalom	M5	1	1500	0	87.95	111.5	0	8	0	3
24	Trick	M5	2	15000	0	1001.50	6230	0	0	0	3
24	Jump	M5	3	1500	24.3	77.75	162	0	0	0	3
24	Slalom	M6	1	1500	0	85.40	110	0	8	0	3
24	Trick	M6	2	15000	0	1404.00	4830	0	0	0	3
24	Jump	M6	3	1500	23.25	73.90	155	0	0	0	3
24	Slalom	M7	1	1500	0	81.25	104	0	8	0	3
24	Trick	M7	2	15000	0	1080.00	3800	0	0	0	3
24	Jump	M7	3	1500	20.55	52.20	137	0	0	0	3
24	Slalom	M8	1	1500	0	78.33	99	0	8	0	2
24	Trick	M8	2	15000	0	976.00	3400	0	0	0	2
24	Jump	M8	3	1500	18.45	45.60	123	0	0	0	2
24	Slalom	M9	1	1500	0	75.17	92	0	8	0	2
24	Trick	M9	2	15000	0	608.00	2520	0	0	0	2
24	Jump	M9	3	1500	14.7	37.30	98	0	0	0	2
24	Slalom	MA	1	1500	0	60.33	80	0	8	0	2
24	Trick	MA	2	15000	0	800.00	1600	0	0	0	2
24	Jump	MA	3	1500	15	23.40	100	0	0	0	2
24	Slalom	MB	1	1500	0	32.23	64	0	8	0	2
24	Trick	MB	2	15000	0	432.50	1050	0	0	0	2
24	Jump	MB	3	1500	6.15	19.50	41	0	0	0	2
24	Slalom	G1	1	1500	0	22.80	80	0	40	0	2
24	Trick	G1	2	15000	0	361.00	5340	0	0	0	2
24	Jump	G1	3	1500	149.85	999.00	999	0	0	0	2
24	Slalom	G2	1	1500	0	38.08	91	0	8	0	3
24	Trick	G2	2	15000	0	790.00	6260	0	0	0	3
24	Jump	G2	3	1500	11.25	31.70	75	0	0	0	3
24	Slalom	G3	1	1500	0	60.94	84	0	8	0	3
24	Trick	G3	2	15000	0	1131.00	7440	0	0	0	3
24	Jump	G3	3	1500	18	50.40	120	0	0	0	3
24	Slalom	G4	1	1500	0	62.10	105	0	8	0	3
24	Trick	G4	2	15000	0	1358.00	9300	0	0	0	3
24	Jump	G4	3	1500	21.9	58.65	146	0	0	0	3
24	Slalom	G5	1	1500	0	71.00	109	0	8	0	3
24	Trick	G5	2	15000	0	1282.50	10610	0	0	0	3
24	Jump	G5	3	1500	23.1	52.50	154	0	0	0	3
24	Slalom	W1	1	1500	0	63.45	110	0	8	0	3
24	Trick	W1	2	15000	0	850.50	11260	0	0	0	3
24	Jump	W1	3	1500	24.75	44.70	165	0	0	0	3
24	Slalom	W2	1	1500	0	70.68	112.5	0	8	0	3
24	Trick	W2	2	15000	0	1069.50	11360	0	0	0	3
24	Jump	W2	3	1500	23.7	60.50	158	0	0	0	3
24	Slalom	W3	1	1500	0	66.60	113	0	8	0	3
24	Trick	W3	2	15000	0	1210.00	8540	0	0	0	3
24	Jump	W3	3	1500	23.25	59.75	155	0	0	0	3
24	Slalom	W4	1	1500	0	69.17	104.5	0	8	0	3
24	Trick	W4	2	15000	0	1098.00	5600	0	0	0	3
24	Jump	W4	3	1500	20.1	67.65	134	0	0	0	3
24	Slalom	W5	1	1500	0	64.25	98	0	8	0	3
24	Trick	W5	2	15000	0	720.50	5060	0	0	0	3
24	Jump	W5	3	1500	17.4	39.00	116	0	0	0	3
24	Slalom	W6	1	1500	0	68.00	94.5	0	8	0	3
24	Trick	W6	2	15000	0	1497.00	3940	0	0	0	3
24	Jump	W6	3	1500	18.3	35.75	122	0	0	0	3
24	Slalom	W7	1	1500	0	68.38	91	0	8	0	3
24	Trick	W7	2	15000	0	1251.00	3540	0	0	0	3
24	Jump	W7	3	1500	15.45	74.00	103	0	0	0	3
24	Slalom	W8	1	1500	0	62.55	80	0	8	0	2
24	Trick	W8	2	15000	0	1422.00	2700	0	0	0	2
24	Jump	W8	3	1500	8.55	31.50	57	0	0	0	2
24	Slalom	W9	1	1500	0	57.00	71	0	8	0	2
24	Trick	W9	2	15000	0	907.00	1670	0	0	0	2
24	Jump	W9	3	1500	6.75	30.00	45	0	0	0	2
24	Slalom	WA	1	1500	0	23.85	56	0	8	0	2
24	Trick	WA	2	15000	0	190.00	1220	0	0	0	2
24	Jump	WA	3	1500	4.8	29.00	32	0	0	0	2
24	Slalom	WB	1	1500	0	16.00	40	0	8	0	2
24	Trick	WB	2	15000	0	279.00	1120	0	0	0	2
24	Jump	WB	3	1500	3.3	20.00	22	0	0	0	2
24	Slalom	OM	1	1500	0	111.00	122.5	0	8	0	3
24	Trick	OM	2	15000	0	7173.00	12170	0	0	0	3
24	Jump	OM	3	1500	37.5	182.45	250	0	0	0	3
24	Slalom	OW	1	1500	0	101.67	113	0	8	0	3
24	Trick	OW	2	15000	0	6898.50	11360	0	0	0	3
24	Jump	OW	3	1500	28.2	136.50	188	0	0	0	3
24	Slalom	MM	1	1500	0	104.67	115.5	0	8	0	3
24	Trick	MM	2	15000	0	3008.50	11570	0	0	0	3
24	Jump	MM	3	1500	32.25	198.00	215	0	0	0	3
24	Slalom	MW	1	1500	0	92.00	113	0	8	0	3
24	Trick	MW	2	15000	0	4107.50	8540	0	0	0	3
24	Jump	MW	3	1500	23.25	90.50	155	0	0	0	3
23	Slalom	B1	1	1500	0	24.75	85	0	24	0	2
23	Trick	B1	2	15000	0	488	6130	0	0	0	2
23	Jump	B1	3	1500	0	999	999	0	0	0	2
23	Slalom	B2	1	1500	0	57	86	0	8	0	3
23	Trick	B2	2	15000	0	378	8930	0	0	0	3
23	Jump	B2	3	1500	16.8	42.8	112	0	0	0	3
23	Slalom	B3	1	1500	0	70.5	104.5	0	8	0	3
23	Trick	B3	2	15000	0	1035	11100	0	0	0	3
23	Jump	B3	3	1500	21.6	65.5	144	0	0	0	3
23	Slalom	B4	1	1500	0	76.13	112	0	8	0	3
23	Trick	B4	2	15000	0	1348.5	11490	0	0	0	3
23	Jump	B4	3	1500	28.65	66.3	191	0	0	0	3
23	Slalom	B5	1	1500	0	82.24	117	0	8	0	3
23	Trick	B5	2	15000	0	1512.5	10430	0	0	0	3
23	Jump	B5	3	1500	28.95	84.8	193	0	0	0	3
23	Slalom	M1	1	1500	0	73.36	122.5	0	8	0	3
23	Trick	M1	2	15000	0	702	11620	0	0	0	3
23	Jump	M1	3	1500	32.7	71.3	218	0	0	0	3
23	Slalom	M2	1	1500	0	85	122	0	8	0	3
23	Trick	M2	2	15000	0	1495	12170	0	0	0	3
23	Jump	M2	3	1500	32.4	99.7	216	0	0	0	3
23	Slalom	M3	1	1500	0	88.5	115.5	0	8	0	3
23	Trick	M3	2	15000	0	910.5	12070	0	0	0	3
23	Jump	M3	3	1500	30	97.3	200	0	0	0	3
23	Slalom	M4	1	1500	0	87.5	115.5	0	8	0	3
23	Trick	M4	2	15000	0	981.5	11470	0	0	0	3
23	Jump	M4	3	1500	28.65	67	191	0	0	0	3
23	Slalom	M5	1	1500	0	89.13	111.5	0	8	0	3
23	Trick	M5	2	15000	0	1008	6230	0	0	0	3
23	Jump	M5	3	1500	24.3	70.2	162	0	0	0	3
23	Slalom	M6	1	1500	0	83.92	110	0	8	0	3
23	Trick	M6	2	15000	0	1304	4830	0	0	0	3
23	Jump	M6	3	1500	23.25	53.5	155	0	0	0	3
23	Slalom	M7	1	1500	0	82.22	104	0	8	0	3
23	Trick	M7	2	15000	0	1165	3800	0	0	0	3
23	Jump	M7	3	1500	20.4	58.95	136	0	0	0	3
23	Slalom	M8	1	1500	0	72.87	98.5	0	8	0	2
23	Trick	M8	2	15000	0	1125	3400	0	0	0	2
23	Jump	M8	3	1500	18.45	39	123	0	0	0	2
23	Slalom	M9	1	1500	0	70.17	88	0	8	0	2
23	Trick	M9	2	15000	0	1002	2520	0	0	0	2
23	Jump	M9	3	1500	14.7	37.55	98	0	0	0	2
23	Slalom	MA	1	1500	0	64.22	77	0	8	0	2
23	Trick	MA	2	15000	0	542	1600	0	0	0	2
23	Jump	MA	3	1500	15	23.4	100	0	0	0	2
23	Slalom	MB	1	1500	0	6.01	63.5	0	8	0	2
23	Trick	MB	2	15000	0	513	1050	0	0	0	2
23	Jump	MB	3	1500	6.15	19.5	41	0	0	0	2
23	Slalom	G1	1	1500	0	14.4	80	0	40	0	2
23	Trick	G1	2	15000	0	369	5340	0	0	0	2
23	Jump	G1	3	1500	149.85	999	999	0	0	0	2
23	Slalom	G2	1	1500	0	43.23	88	0	8	0	3
23	Trick	G2	2	15000	0	513	6260	0	0	0	3
23	Jump	G2	3	1500	11.25	35.2	75	0	0	0	3
23	Slalom	G3	1	1500	0	54.67	84	0	8	0	3
23	Trick	G3	2	15000	0	1215	7170	0	0	0	3
23	Jump	G3	3	1500	18	48.3	120	0	0	0	3
23	Slalom	G4	1	1500	0	64.33	105	0	8	0	3
23	Trick	G4	2	15000	0	1320	9300	0	0	0	3
23	Jump	G4	3	1500	21.9	51	146	0	0	0	3
23	Slalom	G5	1	1500	0	76.66	109	0	8	0	3
23	Trick	G5	2	15000	0	1257	10610	0	0	0	3
23	Jump	G5	3	1500	23.1	54.85	154	0	0	0	3
23	Slalom	W1	1	1500	0	62.17	110	0	8	0	3
23	Trick	W1	2	15000	0	703	11260	0	0	0	3
23	Jump	W1	3	1500	24.75	43.2	165	0	0	0	3
23	Slalom	W2	1	1500	0	69.75	112	0	8	0	3
23	Trick	W2	2	15000	0	1240	8990	0	0	0	3
23	Jump	W2	3	1500	23.7	60.3	158	0	0	0	3
23	Slalom	W3	1	1500	0	66.5	110.5	0	8	0	3
23	Trick	W3	2	15000	0	1098	6450	0	0	0	3
23	Jump	W3	3	1500	23.25	56.45	155	0	0	0	3
23	Slalom	W4	1	1500	0	67.93	100.5	0	8	0	3
23	Trick	W4	2	15000	0	1134.5	5600	0	0	0	3
23	Jump	W4	3	1500	20.1	43.7	134	0	0	0	3
23	Slalom	W5	1	1500	0	64.84	98	0	8	0	3
23	Trick	W5	2	15000	0	770.5	5060	0	0	0	3
23	Jump	W5	3	1500	17.4	39.9	116	0	0	0	3
23	Slalom	W6	1	1500	0	72.68	94	0	8	0	3
23	Trick	W6	2	15000	0	1544	3940	0	0	0	3
23	Jump	W6	3	1500	18.3	37.25	122	0	0	0	3
23	Slalom	W7	1	1500	0	63	86	0	8	0	3
23	Trick	W7	2	15000	0	1354	3330	0	0	0	3
23	Jump	W7	3	1500	12.75	44.35	85	0	0	0	3
23	Slalom	W8	1	1500	0	60.635	75.5	0	8	0	2
23	Trick	W8	2	15000	0	1098	2700	0	0	0	2
23	Jump	W8	3	1500	8.55	34	57	0	0	0	2
23	Slalom	W9	1	1500	0	58.17	68	0	8	0	2
23	Trick	W9	2	15000	0	873	1670	0	0	0	2
23	Jump	W9	3	1500	6.75	30	45	0	0	0	2
23	Slalom	WA	1	1500	0	23.85	56	0	8	0	2
23	Trick	WA	2	15000	0	190	1220	0	0	0	2
23	Jump	WA	3	1500	4.8	29	32	0	0	0	2
23	Slalom	WB	1	1500	0	16	40	0	8	0	2
23	Trick	WB	2	15000	0	280	1120	0	0	0	2
23	Jump	WB	3	1500	3.3	20	22	0	0	0	2
23	Slalom	OM	1	1500	0	84.15	122.5	0	8	0	3
23	Trick	OM	2	15000	0	1017	12170	0	0	0	3
23	Jump	OM	3	1500	37.5	73.5	250	0	0	0	3
23	Slalom	OW	1	1500	0	67.11	112	0	8	0	3
23	Trick	OW	2	15000	0	1078	11260	0	0	0	3
23	Jump	OW	3	1500	28.2	52.45	188	0	0	0	3
23	Slalom	MM	1	1500	0	85.5	115.5	0	8	0	3
23	Trick	MM	2	15000	0	999	11570	0	0	0	3
23	Jump	MM	3	1500	32.25	66.8	215	0	0	0	3
23	Slalom	MW	1	1500	0	67.67	110.5	0	8	0	3
23	Trick	MW	2	15000	0	1150	6450	0	0	0	3
23	Jump	MW	3	1500	23.25	53.1	155	0	0	0	3
22	Slalom	B1	1	1500	0	22.95	85	0	24	0	2
22	Trick	B1	2	15000	0	311	6130	0	0	0	2
22	Jump	B1	3	1500	0	999	999	0	0	0	2
22	Slalom	B2	1	1500	0	55.67	86	0	8	0	3
22	Trick	B2	2	15000	0	1083	8930	0	0	0	3
22	Jump	B2	3	1500	14.85	38.25	99	0	0	0	3
22	Slalom	B3	1	1500	0	68.16	104.5	0	8	0	3
22	Trick	B3	2	15000	0	975	9530	0	0	0	3
22	Jump	B3	3	1500	21.6	50	144	0	0	0	3
22	Slalom	B4	1	1500	0	74.7	112	0	8	0	3
22	Trick	B4	2	15000	0	1233	8680	0	0	0	3
22	Jump	B4	3	1500	28.65	57.3	191	0	0	0	3
22	Slalom	B5	1	1500	0	85	117	0	8	0	3
22	Trick	B5	2	15000	0	1233	10430	0	0	0	3
22	Jump	B5	3	1500	28.95	98.1	193	0	0	0	3
22	Slalom	M1	1	1500	0	77.4	122.5	0	8	0	3
22	Trick	M1	2	15000	0	780	11620	0	0	0	3
22	Jump	M1	3	1500	32.7	76	218	0	0	0	3
22	Slalom	M2	1	1500	0	82.5	122	0	8	0	3
22	Trick	M2	2	15000	0	1550	12170	0	0	0	3
22	Jump	M2	3	1500	32.4	82.55	216	0	0	0	3
22	Slalom	M3	1	1500	0	82.8	115.25	0	8	0	3
22	Trick	M3	2	15000	0	953	12070	0	0	0	3
22	Jump	M3	3	1500	30	81.45	200	0	0	0	3
22	Slalom	M4	1	1500	0	87.33	115.5	0	8	0	3
22	Trick	M4	2	15000	0	1154	11470	0	0	0	3
22	Jump	M4	3	1500	28.65	79.7	191	0	0	0	3
22	Slalom	M5	1	1500	0	87.83	111.5	0	8	0	3
22	Trick	M5	2	15000	0	1271	6080	0	0	0	3
22	Jump	M5	3	1500	23.55	70.3	157	0	0	0	3
22	Slalom	M6	1	1500	0	83.83	110	0	8	0	3
22	Trick	M6	2	15000	0	1245	4830	0	0	0	3
22	Jump	M6	3	1500	23.25	63.2	155	0	0	0	3
22	Slalom	M7	1	1500	0	81.765	104	0	8	0	3
22	Trick	M7	2	15000	0	1264	3750	0	0	0	3
22	Jump	M7	3	1500	20.4	36.9	136	0	0	0	3
22	Slalom	M8	1	1500	0	73.01	95	0	8	0	2
22	Trick	M8	2	15000	0	1134	2760	0	0	0	2
22	Jump	M8	3	1500	14.55	45.1	97	0	0	0	2
22	Slalom	M9	1	1500	0	68.17	88	0	8	0	2
22	Trick	M9	2	15000	0	665	2520	0	0	0	2
22	Jump	M9	3	1500	14.7	39.85	98	0	0	0	2
22	Slalom	MA	1	1500	0	63.09	77	0	8	0	2
22	Trick	MA	2	15000	0	865	1600	0	0	0	2
22	Jump	MA	3	1500	15	50.0	100	0	0	0	2
22	Slalom	MB	1	1500	0	6.01	59	0	8	0	2
22	Trick	MB	2	15000	0	360	1050	0	0	0	2
22	Jump	MB	3	1500	3.3	10	22	0	0	0	2
22	Slalom	G1	1	1500	0	14.4	80	0	40	0	2
22	Trick	G1	2	15000	0	434	5340	0	0	0	2
22	Jump	G1	3	1500	149.85	999	999	0	0	0	2
22	Slalom	G2	1	1500	0	34.2	85	0	8	0	3
22	Trick	G2	2	15000	0	358.5	5340	0	0	0	3
22	Jump	G2	3	1500	11.25	34.2	75	0	0	0	3
22	Slalom	G3	1	1500	0	60.05	84	0	8	0	3
22	Trick	G3	2	15000	0	681.5	7170	0	0	0	3
22	Jump	G3	3	1500	18	39.75	120	0	0	0	3
22	Slalom	G4	1	1500	0	68.83	105	0	8	0	3
22	Trick	G4	2	15000	0	1177.5	9300	0	0	0	3
22	Jump	G4	3	1500	21.9	61.3	146	0	0	0	3
22	Slalom	G5	1	1500	0	65.98	109	0	8	0	3
22	Trick	G5	2	15000	0	1068	10610	0	0	0	3
22	Jump	G5	3	1500	23.1	68.3	154	0	0	0	3
22	Slalom	W1	1	1500	0	67.5	110	0	8	0	3
22	Trick	W1	2	15000	0	868	11260	0	0	0	3
22	Jump	W1	3	1500	24.75	57	165	0	0	0	3
22	Slalom	W2	1	1500	0	70.895	112	0	8	0	3
22	Trick	W2	2	15000	0	1026	8990	0	0	0	3
22	Jump	W2	3	1500	23.7	60.3	158	0	0	0	3
22	Slalom	W3	1	1500	0	65.31	110.5	0	8	0	3
22	Trick	W3	2	15000	0	999	6450	0	0	0	3
22	Jump	W3	3	1500	23.25	51.7	155	0	0	0	3
22	Slalom	W4	1	1500	0	65.75	100.5	0	8	0	3
22	Trick	W4	2	15000	0	898.5	5600	0	0	0	3
22	Jump	W4	3	1500	20.1	48.5	134	0	0	0	3
22	Slalom	W5	1	1500	0	67.5	98	0	8	0	3
22	Trick	W5	2	15000	0	1131	5060	0	0	0	3
22	Jump	W5	3	1500	17.4	39.2	116	0	0	0	3
22	Slalom	W6	1	1500	0	71.33	93	0	8	0	3
22	Trick	W6	2	15000	0	1260.5	3940	0	0	0	3
22	Jump	W6	3	1500	18.3	54	122	0	0	0	3
22	Slalom	W7	1	1500	0	63	86	0	8	0	3
22	Trick	W7	2	15000	0	1809	3330	0	0	0	3
22	Jump	W7	3	1500	12.75	41.45	85	0	0	0	3
22	Slalom	W8	1	1500	0	61.83	75.5	0	8	0	2
22	Trick	W8	2	15000	0	899.5	2270	0	0	0	2
22	Jump	W8	3	1500	8.55	42	57	0	0	0	2
22	Slalom	W9	1	1500	0	58.915	68	0	8	0	2
22	Trick	W9	2	15000	0	750	1670	0	0	0	2
22	Jump	W9	3	1500	6.75	30.0	45	0	0	0	2
22	Slalom	WA	1	1500	0	23.85	56	0	8	0	2
22	Trick	WA	2	15000	0	190	1220	0	0	0	2
22	Jump	WA	3	1500	4.8	29	32	0	0	0	2
22	Slalom	WB	1	1500	0	16	40	0	8	0	2
22	Trick	WB	2	15000	0	280	1120	0	0	0	2
22	Jump	WB	3	1500	3.3	20	22	0	0	0	2
22	Slalom	OM	1	1500	0	83.59999847	122.5	0	8	0	3
22	Trick	OM	2	15000	0	1100	12170	0	0	0	3
22	Jump	OM	3	1500	37.5	75.83333206	250	0	0	0	3
22	Slalom	OW	1	1500	0	67.015625	112	0	8	0	3
22	Trick	OW	2	15000	0	999	11260	0	0	0	3
22	Jump	OW	3	1500	28.2	55	188	0	0	0	3
22	Slalom	MM	1	1500	0	85.83333588	115.5	0	8	0	3
22	Trick	MM	2	15000	0	1188	11570	0	0	0	3
22	Jump	MM	3	1500	32.25	72.19999695	215	0	0	0	3
22	Slalom	MW	1	1500	0	66.59999847	110.5	0	8	0	3
22	Trick	MW	2	15000	0	1035	6450	0	0	0	3
22	Jump	MW	3	1500	23.25	50.69999886	155	0	0	0	3
21	Slalom	B1	1	1500	0	22.95	85	0	24	0	2
21	Trick	B1	2	15000	0	311	6130	0	0	0	2
21	Jump	B1	3	1500	0	999	999	0	0	0	2
21	Slalom	B2	1	1500	0	55.67	86	0	8	0	3
21	Trick	B2	2	15000	0	1083	8930	0	0	0	3
21	Jump	B2	3	1500	14.85	38.25	99	0	0	0	3
21	Slalom	B3	1	1500	0	68.16	104.5	0	8	0	3
21	Trick	B3	2	15000	0	975	9530	0	0	0	3
21	Jump	B3	3	1500	21.6	50	144	0	0	0	3
21	Slalom	B4	1	1500	0	74.7	112	0	8	0	3
